sensor 0:
average:     -0.108382 -0.407036 0.681656 0.040304 0.025797 0.010486
s_deviation: 0.000000 0.000000 -nan 0.000000 0.000000 0.000000
max_error:   0.108382 0.407036 0.681656 0.040304 0.025797 0.010486
zero_limit:   0.814072 0.080608

sensor 1:
average:     -0.103198 0.416274 0.671029 -0.076467 0.024958 -0.016617
s_deviation: 0.000000 -nan 0.000000 0.000000 -nan -nan
max_error:   0.103198 0.416274 0.671029 0.076467 0.024958 0.016617
zero_limit:   1.342059 0.152934

